iter	Passed	Remaining
404	6939	10194
405	6954	10175
406	6970	10156
407	6988	10140
408	7004	10120
409	7021	10104
410	7039	10088
411	7054	10068
412	7068	10047
413	7086	10030
414	7104	10014
415	7125	10002
416	7141	9983
417	7156	9964
418	7172	9945
419	7186	9924
420	7199	9902
421	7215	9882
422	7233	9867
423	7253	9853
424	7270	9836
425	7291	9825
426	7313	9813
427	7339	9809
428	7365	9803
429	7391	9797
430	7408	9780
431	7426	9763
432	7444	9747
433	7459	9728
434	7472	9706
435	7487	9686
436	7504	9668
437	7521	9651
438	7540	9635
439	7555	9616
440	7571	9597
441	7588	9579
442	7605	9562
443	7621	9544
444	7637	9526
445	7654	9508
446	7674	9494
447	7690	9475
448	7705	9455
449	7720	9436
450	7736	9417
451	7766	9416
452	7791	9408
453	7813	9396
454	7837	9387
455	7858	9374
456	7879	9362
457	7895	9344
458	7913	9326
459	7933	9313
460	7950	9295
461	7967	9278
462	7988	9264
463	8008	9250
464	8027	9235
465	8047	9221
466	8066	9206
467	8088	9194
468	8108	9180
469	8125	9162
470	8143	9145
471	8161	9129
472	8179	9113
473	8195	9094
474	8210	9074
475	8226	9055
476	8242	9037
477	8257	9017
478	8272	8997
479	8287	8977
480	8302	8958
481	8320	8941
482	8339	8926
483	8355	8908
484	8373	8891
485	8388	8871
486	8402	8851
487	8418	8832
488	8432	8812
489	8448	8793
490	8466	8776
491	8481	8757
492	8496	8738
493	8513	8720
494	8530	8702
495	8545	8683
496	8562	8665
497	8580	8649
498	8595	8630
499	8612	8612
500	8628	8593
501	8646	8577
502	8671	8568
503	8691	8553
504	8710	8538
505	8731	8524
506	8754	8513
507	8777	8501
508	8799	8488
509	8818	8472
510	8840	8460
511	8866	8451
512	8887	8437
513	8906	8421
514	8924	8404
515	8943	8389
516	8959	8370
517	8974	8350
518	8988	8330
519	9004	8311
520	9020	8293
521	9041	8279
522	9061	8264
523	9079	8248
524	9094	8228
525	9108	8208
526	9126	8190
527	9144	8174
528	9168	8163
529	9186	8146
530	9206	8131
531	9224	8115
532	9243	8099
533	9266	8086
534	9285	8070
535	9305	8055
536	9324	8039
537	9340	8020
538	9356	8002
539	9371	7983
540	9387	7964
541	9404	7947
542	9419	7927
543	9434	7908
544	9450	7890
545	9467	7872
546	9483	7854
547	9500	7836
548	9515	7816
549	9533	7800
550	9551	7783
551	9570	7766
552	9585	7748
553	9602	7730
554	9618	7712
555	9635	7694
556	9651	7676
557	9673	7662
558	9690	7645
559	9705	7625
560	9719	7606
561	9735	7587
562	9754	7571
563	9772	7554
564	9790	7537
565	9808	7520
566	9829	7506
567	9849	7491
568	9874	7479
569	9888	7459
570	9902	7439
571	9919	7422
572	9935	7404
573	9951	7385
574	9966	7366
575	9983	7348
576	9999	7330
577	10016	7313
578	10049	7307
579	10069	7292
580	10086	7273
581	10102	7255
582	10118	7237
583	10135	7219
584	10152	7201
585	10169	7184
586	10184	7165
587	10201	7147
588	10217	7129
589	10233	7111
590	10248	7092
591	10264	7074
592	10280	7056
593	10297	7038
594	10313	7020
595	10331	7003
596	10348	6985
597	10363	6966
598	10379	6948
599	10397	6931
600	10418	6916
601	10436	6899
602	10450	6880
603	10465	6861
604	10481	6843
605	10495	6824
606	10510	6804
607	10524	6785
608	10547	6771
609	10562	6752
610	10576	6733
611	10592	6715
612	10608	6697
613	10624	6679
614	10649	6666
615	10669	6650
616	10685	6632
617	10701	6614
618	10719	6597
619	10738	6581
620	10757	6565
621	10774	6548
622	10794	6532
623	10813	6515
624	10832	6499
625	10854	6485
626	10874	6468
627	10890	6451
628	10906	6432
629	10922	6414
630	10937	6395
631	10954	6378
632	10970	6360
633	10987	6343
634	11002	6324
635	11017	6305
636	11032	6287
637	11048	6268
638	11064	6251
639	11080	6232
640	11097	6215
641	11112	6196
642	11128	6178
643	11144	6160
644	11160	6142
645	11176	6124
646	11190	6105
647	11208	6088
648	11223	6070
649	11239	6051
650	11256	6034
651	11272	6016
652	11288	5998
653	11304	5980
654	11323	5964
655	11339	5946
656	11355	5928
657	11371	5910
658	11386	5892
659	11401	5873
660	11420	5856
661	11437	5839
662	11452	5821
663	11469	5803
664	11485	5785
665	11502	5768
666	11519	5751
667	11536	5733
668	11552	5715
669	11569	5698
670	11587	5681
671	11604	5664
672	11621	5646
673	11652	5636
674	11672	5620
675	11689	5602
676	11707	5585
677	11726	5569
678	11745	5552
679	11763	5535
680	11781	5518
681	11796	5500
682	11814	5483
683	11829	5465
684	11847	5447
685	11861	5429
686	11880	5412
687	11896	5395
688	11913	5377
689	11930	5359
690	11947	5342
691	11964	5325
692	11982	5308
693	12000	5291
694	12016	5273
695	12032	5255
696	12048	5237
697	12062	5218
698	12077	5200
699	12094	5183
700	12110	5165
701	12126	5147
702	12143	5130
703	12159	5112
704	12177	5095
705	12195	5078
706	12212	5061
707	12229	5043
708	12245	5026
709	12260	5007
710	12277	4990
711	12294	4973
712	12313	4956
713	12331	4939
714	12350	4922
715	12365	4904
716	12381	4886
717	12400	4870
718	12416	4852
719	12433	4835
720	12449	4817
721	12467	4800
722	12483	4782
723	12502	4766
724	12518	4748
725	12535	4731
726	12551	4713
727	12567	4695
728	12583	4677
729	12603	4661
730	12619	4643
731	12636	4626
732	12652	4608
733	12667	4590
734	12684	4573
735	12701	4556
736	12718	4538
737	12739	4522
738	12757	4505
739	12776	4489
740	12794	4471
741	12813	4455
742	12831	4438
743	12848	4421
744	12865	4403
745	12884	4387
746	12901	4369
747	12919	4352
748	12935	4334
749	12952	4317
750	12968	4299
751	12984	4282
752	13000	4264
753	13017	4247
754	13033	4229
755	13049	4211
756	13065	4194
757	13081	4176
758	13100	4159
759	13118	4142
760	13134	4125
761	13149	4107
762	13167	4090
763	13184	4072
764	13200	4055
765	13215	4037
766	13232	4019
767	13247	4001
768	13263	3984
769	13280	3966
770	13297	3949
771	13313	3931
772	13335	3916
773	13351	3898
774	13366	3880
775	13382	3862
776	13398	3845
777	13415	3828
778	13436	3811
779	13457	3795
780	13471	3777
781	13488	3760
782	13505	3742
783	13523	3725
784	13541	3708
785	13558	3691
786	13573	3673
787	13588	3655
788	13603	3638
789	13623	3621
790	13639	3603
791	13656	3586
792	13671	3568
793	13690	3551
794	13708	3534
795	13727	3517
796	13744	3500
797	13762	3483
798	13780	3466
799	13795	3448
800	13812	3431
801	13830	3414
802	13850	3397
803	13866	3380
804	13883	3363
805	13902	3346
806	13918	3328
807	13932	3310
808	13948	3293
809	13962	3275
810	13977	3257
811	13993	3239
812	14011	3222
813	14030	3205
814	14050	3189
815	14065	3171
816	14082	3154
817	14098	3136
818	14115	3119
819	14131	3102
820	14147	3084
821	14165	3067
822	14181	3049
823	14196	3032
824	14212	3014
825	14228	2997
826	14242	2979
827	14259	2962
828	14275	2944
829	14292	2927
830	14308	2909
831	14322	2892
832	14338	2874
833	14354	2857
834	14369	2839
