calculated_host_listings_count,host_response_time,host_response_rate(%),host_acceptance_rate(%),host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,dist_from_center(km),room_type,accommodates,bedrooms,beds,bathrooms,amenities_count,price($),minimum_nights_cleansed,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_communication,last_review,days_since_last_review,estimated_occupancy
1,,,,f,f,Hell's Kitchen,Manhattan,40.75555,-73.99227,0.6319643705662402,Entire home/apt,2,1.0,1.0,1.0,21,1500.0,30,360,365,147,3.07,4.71,4.8,4.8,2023-09-26,523.0,1.0
1,within an hour,100.0,97.0,f,t,Upper East Side,Manhattan,40.77726,-73.955,3.344254331601404,Entire home/apt,6,3.0,4.0,6.0,25,1447.0,30,1125,339,9,0.23,5.0,4.89,5.0,2023-09-23,526.0,0.23
1,within an hour,100.0,68.0,f,t,Lower East Side,Manhattan,40.72095,-73.99047,4.141002349135837,Private room,13,6.0,8.0,2.0,72,1718.0,1,1125,326,92,2.12,4.87,4.55,5.0,2024-12-28,64.0,0.07066666666666667
22,within an hour,100.0,99.0,f,t,Hell's Kitchen,Manhattan,40.75426,-73.99756,1.0976423180971846,Entire home/apt,10,5.0,5.0,2.0,14,1057.0,2,30,179,34,0.93,4.35,4.15,4.56,2024-09-08,175.0,0.062000000000000006
4,within an hour,100.0,64.0,f,t,Midtown,Manhattan,40.761616,-73.974335,1.022727101476091,Private room,2,1.0,1.0,1.0,51,1143.0,1,1125,364,7,0.21,5.0,5.0,4.86,2024-12-26,66.0,0.007
1,,,,f,t,Upper West Side,Manhattan,40.78321,-73.98213,2.8175565977786396,Entire home/apt,4,4.0,3.0,2.5,9,1369.0,30,30,365,1,0.05,5.0,5.0,5.0,2023-08-20,560.0,0.05
1,within an hour,100.0,100.0,f,t,SoHo,Manhattan,40.72361,-74.00231,4.077826489319213,Entire home/apt,8,3.0,3.0,3.0,50,1100.0,30,360,75,34,1.06,4.94,5.0,4.97,2023-09-21,528.0,1.0
4,within an hour,100.0,64.0,f,t,Midtown,Manhattan,40.76277,-73.97539,1.0031902915232815,Private room,6,2.0,3.0,2.5,56,2657.0,1,1125,364,13,0.38,4.92,5.0,5.0,2025-01-01,60.0,0.012666666666666666
4,,,100.0,f,t,Bedford-Stuyvesant,Brooklyn,40.69631,-73.94627,7.614628969228795,Entire home/apt,16,1.0,0.0,2.0,23,1250.0,30,30,365,2,0.07,5.0,5.0,5.0,2023-04-30,672.0,0.07
1,within an hour,100.0,90.0,t,t,Upper West Side,Manhattan,40.7701937,-73.98291770000002,1.3732103969474176,Entire home/apt,6,3.0,4.0,2.5,50,1243.0,30,180,124,4,0.15,5.0,4.75,5.0,2024-11-22,100.0,0.15
3,within a few hours,90.0,45.0,f,t,Cobble Hill,Brooklyn,40.68693,-73.99085,7.915484939280377,Entire home/apt,4,2.0,3.0,1.0,10,1151.0,30,365,365,1,0.16,5.0,5.0,5.0,2024-08-30,184.0,0.16
